objectid,filename,title,creator,date,description,subject,location,latitude,longitude,contributor,filesize,source,identifier,type,format,language,device model,rights,rightsstatement
coll001,IMG_3558.jpeg,Bananas Foster Bread Pudding,"Parenteau, Chloe",2023-10-06,"Pullman Bar & Diner's Bananas Foster Bread Pudding, brioche bread, custard, caramel sauce, and vanilla ice cream.","Diners (Restaurants)--Desserts--Pudding--Bread puddings, Diners (Restaurants)--Iowa--Iowa City",Iowa City--Iowa--USA,41.6602° N,91.5341 W ,"Gienger, Alec",1.7 MB,Personal digital collection of Chloe Parenteau,2023_001,Digital photograph,image/jpeg,eng,"Apple, iPhone 14 Pro","Copyright 2023, Chloe Parenteau.",http://rightsstatements.org/vocab/NoC-US/1.0/
coll002,IMG_6545.jpeg,Niman Ranch Hanger Steak,"Parenteau, Chloe",2024-06-21,"Cobble Hill's Niman Ranch hanger steak, potato pancake, picked mustard greens and a beef sesame jus.","Dinners and Dining, Food presentation, Beefsteaks",Cedar Rapids--Iowa--USA,41.9777° N,91.6638° W,"Gienger, Alec",1.7 MB,Personal digital collection of Chloe Parenteau,2024_002,Digital photograph,image/jpeg,eng,"Apple, iPhone 14 Pro","Copyright 2024, Chloe Parenteau.",http://rightsstatements.org/vocab/NoC-US/1.0/
coll003,IMG_8342.jpeg,Blueberry Pancakes,"Parenteau, Chloe",2024-11-24,Cafe St. Pio's blueberry pancakes.,"Breakfast, Blueberries",Cedar Rapids--Iowa--USA,41.96418° N,91.66147° W,,2.7 MB,Personal digital collection of Chloe Parenteau,2024_003,Digital photograph,image/jpeg,eng,"Apple, iPhone 14 Pro","Copyright 2024, Chloe Parenteau.",http://rightsstatements.org/vocab/NoC-US/1.0/
coll004,IMG_5820.jpeg,Quesabirria Tacos,"Parenteau, Chloe",2024-04-09,"Lacayo Restaurant's quesabirria tacos with carne asada, oaxaca cheese, onions & cilantro, served with a side of beef birria broth, and a ""halvie"" of arroz & frijoles, cotija cheese, garlic oil and scallions.",Ethnic restaurants,Cedar Rapids--Iowa--USA,41.9745° N,91.6592° W,"Gienger, Alec",2.9 MB,Personal digital collection of Chloe Parenteau,2024_004,Digital photograph,image/jpeg,eng,"Apple, iPhone 14 Pro","Copyright 2024, Chloe Parenteau.",http://rightsstatements.org/vocab/NoC-US/1.0/
coll005,IMG_5884.jpeg,Taco Pizza,"Parenteau, Chloe",2024-04-14,"Zoey's Pizzeria's ""Z-Taco-ey"" pizza, tangy sauce, specially seasoned beef, onions, cheddar & mozzarella cheese, topped off with sour cream, fresh lettuce, tomatoes, black olives and tortilla chips.","Pizza--United States, Pizzerias",Marion--Iowa--USA,42.03316° N,91.59956° W,"Parenteau, Phoebe",2.8 MB,Personal digital collection of Chloe Parenteau,2024_005,Digital photograph,image/jpeg,eng,"Apple, iPhone 14 Pro","Copyright 2024, Chloe Parenteau.",http://rightsstatements.org/vocab/NoC-US/1.0/
coll006,IMG_1526.jpeg,Tribute Burger,"Parenteau, Chloe",2023-04-30,"Tribute Bar & Eatery's Tribute Burger, double patty, white american cheese, house pickle, slaw, garlic aioli, brioche bun, add egg, with side of breakfast potatoes.",Cheeseburgers,Coralville--Iowa--USA,41.6845° N,91.5668° W,"Parenteau, Angie",2.2 MB,Personal digital collection of Chloe Parenteau,2023_006,Digital photograph,image/jpeg,eng,"Apple, iPhone 14 Pro","Copyright 2023, Chloe Parenteau.",http://rightsstatements.org/vocab/NoC-US/1.0/
coll007,IMG_2337.jpeg,BBQ Mac & Cheese with Pulled Pork,"Parenteau, Chloe",2023-05-19,"The Pedaler's Fork's BBQ Mac, cavatappi mac and cheese drizzled with BBQ sauce, topped with crispy onion tanglers and a sprinkle of green onions, with BBQ pulled pork added.","Pasta, Cheddar Cheese, Barbecue sauce, Barbecue Cookery",Cedar Rapids--Iowa--USA,41.9939° N,91.6531° W,,2.1 MB,Personal digital collection of Chloe Parenteau,2023_007,Digital photograph,image/jpeg,eng,"Apple, iPhone 14 Pro","Copyright 2023, Chloe Parenteau.",http://rightsstatements.org/vocab/NoC-US/1.0/
coll008,IMG_5865.jpeg,Smoked Blueberry Burger,"Parenteau, Chloe",2024-04-12,"The Black Sheep Social Club's Smoked Blueberry Burger, 1/2 pound Black Angus patty, smoked blueberry compote, whipped herb goat cheese, jalapeno relish, brioche bun. Side of sweet potato fries.",Cheeseburgers,Cedar Rapids--Iowa--USA,41.975° N,91.6646° W,,3.1 MB,Personal digital collection of Chloe Parenteau,2024_008,Digital photograph,image/jpeg,eng,"Apple, iPhone 14 Pro","Copyright 2024, Chloe Parenteau.",http://rightsstatements.org/vocab/NoC-US/1.0/
coll009,IMG_4981.jpeg,Garlic Shrimp Oreganata,"Parenteau, Chloe",2024-02-14,"Biaggi's Ristorante Italiano's garlic shrimp oreganata, garlic-oregano crusted oven-roasted shrimp, capellini pasta, tomato-basil sauce.","Pasta, Cooking-- Italian, Cooking (shrimp)",Cedar Rapids--Iowa--USA,41.9828° N,91.6525° W,"Gienger, Alec",2.1 MB,Personal digital collection of Chloe Parenteau,2024_009,Digital photograph,image/jpeg,eng,"Apple, iPhone 14 Pro","Copyright 2024, Chloe Parenteau.",http://rightsstatements.org/vocab/NoC-US/1.0/
coll010,IMG_2106.jpeg,Berry French Toast,"Parenteau, Chloe",2023-06-18,"30 Hop's berry french toast, brioche, blueberry lemon sauce, brown sugar, mascarpone, oatmeal crumbles, blueberries, maple syrup.","French toast, Breakfast",Cedar Rapids--Iowa--USA,42.0333° N,91.6525° W,,2.3 MB,Personal digital collection of Chloe Parenteau,2023_010,Digital photograph,image/jpeg,eng,"Apple, iPhone 14 Pro","Copyright 2023, Chloe Parenteau.",http://rightsstatements.org/vocab/NoC-US/1.0/
coll011,IMG_7149.jpeg,Chicken Parmesan,"Parenteau, Chloe",2024-08-09,The District CR's chicken parmesan with garlic bread.,"Pasta, Cooking (Chicken)",Cedar Rapids--Iowa--USA,41.977° N,91.6646° W,,1.9 MB,Personal digital collection of Chloe Parenteau,2024_011,Digital photograph,image/jpeg,eng,"Apple, iPhone 14 Pro","Copyright 2024, Chloe Parenteau.",http://rightsstatements.org/vocab/NoC-US/1.0/
coll012,IMG_1512.jpeg,Cajun Elote Grilled Chicken Wings,"Parenteau, Chloe",2023-04-29,"Sacred Cow Tavern's cajun elote grilled chicken wings, grilled chicken wings, grilled corn, parmesan, herbs, tajin, lime.",Cooking (Chicken),Cedar Rapids--Iowa--USA,41.9706° N,91.6699° W,"Gienger, Alec",2.2 MB,Personal digital collection of Chloe Parenteau,2023_012,Digital photograph,image/jpeg,eng,"Apple, iPhone 14 Pro","Copyright 2023, Chloe Parenteau.",http://rightsstatements.org/vocab/NoC-US/1.0/
coll013,IMG_7769.jpeg,Cinnamon Roll,"Parenteau, Chloe",2024-10-05,Feedwell Kitchen and Bakery's pink cinnamon roll.,"Selling--Baked goods, Baking--Desserts, Coffee shops--Iowa",Marion--Iowa--USA,42.0477° N,91.6412° W,"Parenteau, Angie",2.2 MB,Personal digital collection of Chloe Parenteau,2024_013,Digital photograph,image/jpeg,eng,"Apple, iPhone 14 Pro","Copyright 2024, Chloe Parenteau.",http://rightsstatements.org/vocab/NoC-US/1.0/
coll014,IMG_3534.jpeg,Butcher Board,"Parenteau, Chloe",2023-10-05,"Cedar Ridge Winery's butcher board, your choice of a meat or cheese board with selection of local meats or cheeses, served with toasted ciabatta and house chutney.","Wineries--Iowa, Wineries--Middle West",Swisher--Iowa--USA,41.831462° N,91.677684° W,,3.0 MB,Personal digital collection of Chloe Parenteau,2023_014,Digital photograph,image/jpeg,eng,"Apple, iPhone 14 Pro","Copyright 2023, Chloe Parenteau.",http://rightsstatements.org/vocab/NoC-US/1.0/
coll015,IMG_9159.jpeg,Shrimp Picatta,"Parenteau, Chloe",2025-02-14,"Vino's Ristorante's shrimp picatta, tiger shrimp, angel hair, picatta sauce.","Pasta, Cooking-- Italian, Cooking (shrimp)",Cedar Rapids--Iowa--USA,41.9763° N,91.6698° W,"Gienger, Alec",2.3 MB,Personal digital collection of Chloe Parenteau,2025_015,Digital photograph,image/jpeg,eng,"Apple, iPhone 14 Pro","Copyright 2025, Chloe Parenteau.",http://rightsstatements.org/vocab/NoC-US/1.0/